scenario_id,scenario_json,method,seed,replicate,n_samples,p,m,h2,rho,signal_ratio,maf_type,case_control_ratio,n_features,n_causal_snps,auc,brier,accuracy,balanced_accuracy,mean_rank_causal,median_rank_causal,recall_at_20,fit_seconds,perm_seconds,status,error_msg
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,100,2,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.575289,0.276399,0.513333,0.513333,625.500000,738.000000,0.000000,33.663288,75.767509,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,90,2,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.478844,0.259520,0.500000,0.500000,494.750000,450.000000,0.000000,0.158279,5.154887,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,90,2,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.604711,0.240624,0.600000,0.600000,363.750000,244.000000,0.000000,0.903714,9.102209,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,90,2,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.511289,0.304031,0.520000,0.520000,572.000000,602.500000,0.000000,32.706118,75.843915,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,42,3,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.580000,0.243491,0.580000,0.580000,552.000000,541.500000,0.000000,0.156542,5.177722,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,42,3,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.517689,0.250741,0.500000,0.500000,738.500000,807.000000,0.000000,0.947536,9.306453,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,42,3,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.578222,0.282072,0.546667,0.546667,503.000000,540.000000,0.000000,31.746333,74.904524,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",rf,0,3,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.491733,0.255205,0.466667,0.466667,395.000000,382.000000,0.000000,0.159305,5.292921,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",orf,0,3,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.494044,0.255010,0.506667,0.506667,441.500000,443.500000,0.250000,0.942950,9.084041,ok,
f889028d1043,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.8,""signal_ratio"":0.5}",bworf,0,3,500,1000,2,0.005000,0.800000,0.500000,fixed,1.000000,1000,4,0.469867,0.339321,0.453333,0.453333,566.000000,669.500000,0.000000,31.845515,75.236222,ok,
