scenario_id,scenario_json,method,seed,replicate,n_samples,p,m,h2,rho,signal_ratio,maf_type,case_control_ratio,n_features,n_causal_snps,auc,auprc,f1,balanced_acc,brier,mean_rank_causal,median_rank_causal,recall_at_20,fit_seconds,perm_seconds,status,error_msg
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",rf,100,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.491597,0.910422,0.951049,0.500000,0.086404,413.400000,378.000000,0.000000,0.562031,22.351643,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",orf,100,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.450368,0.897780,0.951049,0.500000,0.085845,554.800000,588.500000,0.000000,1.451994,40.342746,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_uniform,100,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.500525,0.910836,0.951049,0.500000,0.091899,399.500000,165.000000,0.200000,88.460535,366.265564,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_weighted,100,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.422794,0.891761,0.913043,0.463235,0.131484,425.500000,371.000000,0.000000,79.091545,365.651170,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",rf,90,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.444853,0.887501,0.951049,0.500000,0.086503,398.100000,415.000000,0.000000,0.754462,22.128196,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",orf,90,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.497899,0.898784,0.951049,0.500000,0.085615,498.900000,429.000000,0.000000,1.438436,40.906588,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_uniform,90,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.490546,0.905441,0.951049,0.500000,0.090881,507.000000,438.000000,0.100000,85.579937,372.391080,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_weighted,90,1,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.548845,0.934866,0.928571,0.477941,0.107573,334.500000,273.000000,0.100000,77.350257,371.232959,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",rf,42,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.276261,0.843603,0.951049,0.500000,0.089643,599.900000,731.500000,0.000000,0.572354,22.078677,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",orf,42,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.336134,0.881159,0.951049,0.500000,0.087785,410.300000,310.500000,0.000000,1.448103,40.479068,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_uniform,42,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.385767,0.877547,0.951049,0.500000,0.092407,433.500000,464.000000,0.200000,84.256690,366.008303,ok,
c98549f0b65d,"{""case_control_ratio"":0.1,""h2"":0.05,""m"":5,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":1.0}",bworf_weighted,42,2,500,1000,5,0.050000,0.200000,1.000000,fixed,0.100000,1000,10,0.361870,0.874306,0.916968,0.466912,0.135174,549.100000,530.500000,0.100000,77.714522,365.715781,ok,
