dataset,seed,fold,model_name,n_train,n_test,class0_train,class1_train,class2_train,class0_test,class1_test,class2_test,fit_time_sec,predict_time_sec,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,mcc,macro_auroc_ovr,macro_auprc_ovr,log_loss
dili_multiclass,44,4,bworf_mi,516,58,300,90,126,33,11,14,28398.372620821,0.2403803281486034,0.293103448275862,0.3766233766233766,0.2560571388946674,0.3766233766233766,0.2281493224679526,0.0667926322500372,0.5696627367903964,0.4498872173048478,1.0951906029738476
dili_multiclass,44,5,bworf_mi,517,57,300,91,126,33,10,14,18893.705393260345,0.242934251204133,0.4912280701754385,0.4854256854256855,0.4596736596736597,0.4854256854256855,0.5183167709483499,0.2470264842298803,0.6193315217869894,0.4582238356434975,0.991604378356462
dili_multiclass,44,6,bworf_mi,517,57,300,91,126,33,10,14,18915.862910335883,0.2313828915357589,0.4736842105263157,0.410966810966811,0.4174143087186565,0.410966810966811,0.4935890450764592,0.1276542238171894,0.5820298214348189,0.4594420326930821,1.0965817742642487
dili_multiclass,44,7,bworf_mi,517,57,300,91,126,33,10,14,31176.970734912906,0.2441119961440563,0.5087719298245614,0.486002886002886,0.4597812097812097,0.486002886002886,0.5211169816432974,0.2351981215325869,0.5177803368859776,0.4304043795553068,1.0827902476495657
dili_multiclass,44,8,bworf_mi,517,57,300,91,126,33,10,14,25238.137409744784,0.2575304955244064,0.3684210526315789,0.3873015873015873,0.3587301587301588,0.3873015873015873,0.3742690058479532,0.0185777433245488,0.5496374467799505,0.4331219040008799,1.039912493749297
dili_multiclass,44,9,bworf_mi,517,57,300,91,126,33,10,14,27518.448160726577,0.2575351260602474,0.4736842105263157,0.4479076479076478,0.4311012235817575,0.4479076479076478,0.4905996916652029,0.1643816814139215,0.6011932637798546,0.5103255609404221,1.0003481429588412
dili_multiclass,44,10,bworf_mi,517,57,300,91,126,33,10,14,32058.41639972385,0.2681407770141959,0.5789473684210527,0.5728715728715729,0.5436203466894004,0.5728715728715729,0.5922735226813838,0.342865630290837,0.6731364325377189,0.5156259538510748,0.966664407411393
dili_multiclass,45,1,bworf_mi,516,58,299,91,126,34,10,14,24181.799977565184,0.29946244135499,0.5517241379310345,0.4403361344537815,0.4426406926406926,0.4403361344537815,0.5495969547693685,0.2043809622716966,0.6034915860283507,0.4818281149563466,1.023714729943388
dili_multiclass,45,2,bworf_mi,516,58,299,91,126,34,10,14,22296.88645223156,0.244526881724596,0.4310344827586206,0.399719887955182,0.4022939068100358,0.399719887955182,0.4618761586948461,0.1001903273067922,0.5816213606654782,0.4266479056937359,1.0399057779398877
dili_multiclass,45,3,bworf_mi,516,58,299,91,126,34,10,14,23100.152135042477,0.2459536641836166,0.4137931034482758,0.3994397759103641,0.3786724839577991,0.3994397759103641,0.4503715649542522,0.1333052746377784,0.603385217723453,0.4330130481713976,1.0261775133886235
dili_multiclass,45,4,bworf_mi,516,58,300,90,126,33,11,14,32379.60665583983,0.2644382291473448,0.3103448275862069,0.277056277056277,0.2772874822479205,0.277056277056277,0.3424612252607719,-0.0420196392209264,0.5173088023088023,0.3827787028210084,1.092865712647133
dili_multiclass,45,5,bworf_mi,517,57,300,91,126,33,10,14,27650.66911179619,0.240096419584006,0.4561403508771929,0.3776334776334777,0.3823891146295518,0.3776334776334777,0.4786144521548606,0.1107683568605924,0.592255520378974,0.42887248257963,1.050542651579338
dili_multiclass,45,6,bworf_mi,517,57,300,91,126,33,10,14,26714.80814305134,0.2383723445236683,0.543859649122807,0.5062049062049062,0.4938129373613245,0.5062049062049062,0.574458098651647,0.3002745765017814,0.5986717538239062,0.4784123286768804,1.0721701292962074
dili_multiclass,45,7,bworf_mi,517,57,300,91,126,33,10,14,21768.580763719976,0.2450929712504148,0.5614035087719298,0.5258297258297259,0.5085947348906192,0.5258297258297259,0.5821829323029487,0.3080895930794664,0.6546218172393333,0.5269783774252811,1.0055153638868606
dili_multiclass,45,8,bworf_mi,517,57,300,91,126,33,10,14,23048.8211834766,0.2416476011276245,0.5263157894736842,0.4275613275613275,0.4290733421168203,0.4275613275613275,0.519242770959018,0.1537850998584828,0.5684089308532654,0.4994500097551973,1.0641555083442833
dili_multiclass,45,9,bworf_mi,517,57,300,91,126,33,10,14,32716.525178698823,0.2313578985631466,0.3859649122807017,0.3646464646464646,0.3464234178519893,0.3646464646464646,0.4187633586129827,0.1022303063060406,0.5353532170268934,0.3925648010116933,1.0625272780209396
dili_multiclass,45,10,bworf_mi,517,57,300,91,126,33,10,14,22832.64049348049,0.2373127359896898,0.3333333333333333,0.3343434343434343,0.3069945927088784,0.3343434343434343,0.351464742442186,0.0226799766363701,0.4837454235338946,0.3403817050983438,1.0982958307727573
dili_multiclass,46,1,bworf_mi,516,58,299,91,126,34,10,14,21270.95246471837,0.2288483697921037,0.3620689655172414,0.2949579831932773,0.2981937602627257,0.2949579831932773,0.3963308985901138,-0.0009733891861902,0.4830330617095323,0.3455664953491978,1.1426192004380524
dili_multiclass,46,2,bworf_mi,516,58,299,91,126,34,10,14,18114.162635451183,0.2417738586664199,0.4137931034482758,0.3663865546218487,0.3591242937853107,0.3663865546218487,0.4360461718293396,0.068416686077577,0.5278403785756726,0.4104706888866546,1.070834511536665
dili_multiclass,46,3,bworf_mi,516,58,299,91,126,34,10,14,21885.90828247834,0.2439882950857281,0.4827586206896552,0.4711484593837534,0.440280857354028,0.4711484593837534,0.4987613731936692,0.2158994143039433,0.6490519692725575,0.4804454828314456,0.9885925790510168
dili_multiclass,46,4,bworf_mi,516,58,300,90,126,33,11,14,27660.831835030112,0.2454282576218247,0.4310344827586206,0.3888888888888889,0.3735837532447703,0.3888888888888889,0.437855213483501,0.0847748431747267,0.5732450646280433,0.4533539538010903,1.0818244543311817
dili_multiclass,46,5,bworf_mi,517,57,300,91,126,33,10,14,28181.935945428908,0.2345838639885187,0.5087719298245614,0.4269841269841269,0.4149988497814584,0.4269841269841269,0.5185427336457085,0.1875413905462412,0.6135864250287802,0.4371105433447324,1.0144282783673284
dili_multiclass,46,6,bworf_mi,517,57,300,91,126,33,10,14,35319.0417382773,0.2530383206903934,0.4210526315789473,0.4038961038961039,0.3862481962481962,0.4038961038961039,0.4407192222981696,0.0967691992741952,0.6187129714715068,0.4321916689979461,0.9892245175959676
dili_multiclass,46,7,bworf_mi,517,57,300,91,126,33,10,14,29145.69230067544,0.2447382677346468,0.5087719298245614,0.4722943722943722,0.4567783094098883,0.4722943722943722,0.5325946445060019,0.2444873157987508,0.6067835734646719,0.4417295184384195,0.9936173549585782
dili_multiclass,46,8,bworf_mi,517,57,300,91,126,33,10,14,19749.646371729672,0.2270314842462539,0.4736842105263157,0.4753246753246753,0.4448951994590939,0.4753246753246753,0.5045372050816698,0.2365059261679918,0.6241120560949853,0.4986343225178513,1.0279046519991868
dili_multiclass,46,9,bworf_mi,517,57,300,91,126,33,10,14,22687.881707986817,0.2291241958737373,0.4561403508771929,0.3776334776334777,0.3781130268199233,0.3776334776334777,0.4853044968743698,0.1338135375950984,0.5351133772397998,0.4717871660010124,1.1314747864989831
dili_multiclass,46,10,bworf_mi,517,57,300,91,126,33,10,14,18319.59843731299,0.2500182893127203,0.4912280701754385,0.4526695526695527,0.4289325007433839,0.4526695526695527,0.4933721457971423,0.1757414109335629,0.6492171128118679,0.5175228778295073,0.9807211874103918
