scenario_id,scenario_json,method,seed,replicate,n_samples,p,m,h2,rho,signal_ratio,maf_type,case_control_ratio,n_features,n_causal_snps,auc,brier,mean_rank_causal,median_rank_causal,recall_at_20,fit_seconds,perm_seconds,status,error_msg
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,100,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.460711,0.322384,434.750000,441.000000,0.250000,34.431443,119.834496,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,90,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.516800,0.250928,332.500000,333.000000,0.000000,0.258954,10.712476,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,90,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.502400,0.251934,391.000000,433.000000,0.250000,0.866690,17.153675,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,90,1,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.489689,0.313287,413.750000,365.500000,0.250000,33.988702,119.541290,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,42,2,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.474222,0.256833,486.750000,458.500000,0.000000,0.258632,11.002336,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,42,2,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.511022,0.252393,447.000000,380.500000,0.000000,0.878285,17.245494,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,42,2,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.513156,0.305772,556.750000,653.000000,0.000000,34.152716,120.658416,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,0,2,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.518044,0.251851,505.000000,573.000000,0.000000,0.252521,10.463537,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,0,2,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.578756,0.245661,325.000000,292.000000,0.000000,0.870939,17.112958,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,0,2,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.551289,0.294495,615.750000,626.000000,0.000000,33.771734,120.238822,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,12,2,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.544978,0.249847,237.000000,184.500000,0.000000,0.256019,10.643770,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,12,2,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.551911,0.248159,434.250000,317.500000,0.000000,0.864962,17.223100,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,12,2,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.497867,0.307191,579.750000,577.500000,0.000000,34.023450,119.189663,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,100,2,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.489956,0.253231,326.750000,309.000000,0.000000,0.257968,10.516645,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,100,2,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.579644,0.246161,423.500000,311.500000,0.000000,0.872882,17.487525,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,100,2,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.554756,0.279107,433.750000,512.500000,0.250000,35.199673,121.029971,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,90,2,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.532978,0.251465,560.000000,516.500000,0.000000,0.252825,10.466197,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,90,2,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.464356,0.257724,581.500000,639.500000,0.000000,0.865330,17.130873,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,90,2,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.426222,0.337285,838.750000,902.000000,0.000000,33.720007,120.270764,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,42,3,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.542933,0.249923,611.750000,666.500000,0.000000,0.257610,10.439301,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,42,3,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.512711,0.251364,799.750000,861.000000,0.000000,1.057938,18.816693,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,42,3,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.429689,0.326599,634.500000,668.500000,0.000000,33.956280,120.908123,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,0,3,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.512889,0.253780,277.750000,117.000000,0.000000,0.258982,10.476040,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,0,3,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.482756,0.254518,453.000000,491.000000,0.000000,0.869638,17.418010,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",bworf,0,3,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.526400,0.297311,306.000000,316.500000,0.000000,34.692422,122.857320,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",rf,12,3,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.500000,0.252527,305.000000,297.000000,0.000000,0.256647,10.225147,ok,
246961712372,"{""case_control_ratio"":1.0,""h2"":0.005,""m"":2,""maf_fixed"":0.3,""maf_type"":""fixed"",""n_blocks"":50,""n_samples"":500,""p"":1000,""rho"":0.2,""signal_ratio"":0.5}",orf,12,3,500,1000,2,0.005000,0.200000,0.500000,fixed,1.000000,1000,4,0.486489,0.256351,732.500000,821.000000,0.000000,0.871380,17.045957,ok,
